Epoch 7/9, Iters: 008700, loss: 0.0189, train_accuracy: 0.9844, time: 0.15 s/iter, learning rate: 0.001
Epoch 8/9, Iters: 008800, loss: 0.0077, train_accuracy: 0.9844, time: 0.08 s/iter, learning rate: 0.001
Epoch 8/9, Iters: 008900, loss: 0.0173, train_accuracy: 0.9609, time: 0.15 s/iter, learning rate: 0.001
Epoch 8/9, Iters: 009000, loss: 0.0097, train_accuracy: 0.9844, time: 0.15 s/iter, learning rate: 0.001
Epoch 8/9, Iters: 009100, loss: 0.0035, train_accuracy: 0.9844, time: 0.31 s/iter, learning rate: 0.001
Epoch 8/9, Iters: 009200, loss: 0.0060, train_accuracy: 0.9766, time: 0.15 s/iter, learning rate: 0.001
Epoch 8/9, Iters: 009300, loss: 0.0080, train_accuracy: 0.9766, time: 0.15 s/iter, learning rate: 0.001
Epoch 8/9, Iters: 009400, loss: 0.0045, train_accuracy: 0.9844, time: 0.15 s/iter, learning rate: 0.001
Epoch 8/9, Iters: 009500, loss: 0.0211, train_accuracy: 0.9766, time: 0.15 s/iter, learning rate: 0.001
Epoch 8/9, Iters: 009600, loss: 0.0043, train_accuracy: 0.9844, time: 0.15 s/iter, learning rate: 0.001
Epoch 8/9, Iters: 009700, loss: 0.0006, train_accuracy: 1.0000, time: 0.15 s/iter, learning rate: 0.001
Epoch 8/9, Iters: 009800, loss: 0.0042, train_accuracy: 0.9844, time: 0.15 s/iter, learning rate: 0.001
Epoch 9/9, Iters: 009900, loss: 0.0069, train_accuracy: 0.9844, time: 0.08 s/iter, learning rate: 0.001
Epoch 9/9, Iters: 010000, loss: 0.0045, train_accuracy: 0.9922, time: 0.30 s/iter, learning rate: 0.001
Epoch 9/9, Iters: 010100, loss: 0.0058, train_accuracy: 0.9688, time: 0.15 s/iter, learning rate: 0.001
Epoch 9/9, Iters: 010200, loss: 0.0180, train_accuracy: 0.9766, time: 0.16 s/iter, learning rate: 0.001
Epoch 9/9, Iters: 010300, loss: 0.0098, train_accuracy: 0.9844, time: 0.15 s/iter, learning rate: 0.001
Epoch 9/9, Iters: 010400, loss: 0.0033, train_accuracy: 0.9922, time: 0.15 s/iter, learning rate: 0.001
Epoch 9/9, Iters: 010500, loss: 0.0021, train_accuracy: 1.0000, time: 0.15 s/iter, learning rate: 0.001
Epoch 9/9, Iters: 010600, loss: 0.0018, train_accuracy: 1.0000, time: 0.15 s/iter, learning rate: 0.001
Epoch 9/9, Iters: 010700, loss: 0.0037, train_accuracy: 0.9844, time: 0.15 s/iter, learning rate: 0.001
Epoch 9/9, Iters: 010800, loss: 0.0016, train_accuracy: 1.0000, time: 0.15 s/iter, learning rate: 0.001
Epoch 9/9, Iters: 010900, loss: 0.0022, train_accuracy: 1.0000, time: 0.30 s/iter, learning rate: 0.001
